127.0.0.1 - - [11/Oct/2016:18:40:22 +0800] "GET /prots-test/image/tiny.gif HTTP/1.1" 404 1001
127.0.0.1 - - [11/Oct/2016:18:40:26 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:40:27 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:40:29 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:40:29 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:40:29 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:40:33 +0800] "GET /prots-test/ HTTP/1.1" 404 973
127.0.0.1 - - [11/Oct/2016:18:40:34 +0800] "GET /prots-test/ HTTP/1.1" 404 973
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET / HTTP/1.1" 200 11418
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /tomcat.css HTTP/1.1" 200 5926
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /asf-logo.png HTTP/1.1" 200 17811
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [11/Oct/2016:18:40:38 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [11/Oct/2016:18:41:12 +0800] "GET / HTTP/1.1" 200 11418
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /tomcat.css HTTP/1.1" 200 5926
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /asf-logo.png HTTP/1.1" 200 17811
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [11/Oct/2016:18:41:13 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [11/Oct/2016:18:41:17 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:41:17 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:41:18 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:41:19 +0800] "GET /prots-test/jianshu/index_m.html HTTP/1.1" 404 1013
127.0.0.1 - - [11/Oct/2016:18:41:23 +0800] "GET /prots-test/ HTTP/1.1" 200 2847
127.0.0.1 - - [11/Oct/2016:18:41:24 +0800] "GET /prots-test/ HTTP/1.1" 200 2847
127.0.0.1 - - [11/Oct/2016:18:41:37 +0800] "GET /prots-test/jianshu HTTP/1.1" 302 -
127.0.0.1 - - [11/Oct/2016:18:41:37 +0800] "GET /prots-test/jianshu/ HTTP/1.1" 404 989
127.0.0.1 - - [11/Oct/2016:18:41:38 +0800] "GET /prots-test/jianshu/ HTTP/1.1" 404 989
127.0.0.1 - - [11/Oct/2016:18:41:38 +0800] "GET /prots-test/jianshu/ HTTP/1.1" 404 989
127.0.0.1 - - [11/Oct/2016:18:42:00 +0800] "GET /prots-test/jianshu/articles HTTP/1.1" 404 1005
127.0.0.1 - - [11/Oct/2016:18:42:06 +0800] "GET /prots-test/jianshu/article_m HTTP/1.1" 404 1007
